county_name;numb_of_citizens;urbanization_rate
powiat_bartoszycki;  58884;0,5621
powiat_miedzyrzecki;  58397;0,5258
powiat_elblaski;  58094;0,2977
powiat_drawski;  57979;0,6190
powiat_wysokomazowiecki;  57903;0,3258
powiat_sredzki_wielkopolskie;  57691;0,3965
powiat_leczynski;  57420;0,3807
Biala_Podlaska;  57303;1,0000
powiat_piski;  57295;0,5923
powiat_wolsztynski;  57270;0,2420
powiat_gizycki;  57141;0,5761
powiat_slawienski;  57033;0,4740
powiat_rycki;  57005;0,4732
powiat_walbrzyski;  56788;0,0000
powiat_czluchowski;  56782;0,4490
powiat_kepinski;  56458;0,2673
powiat_lubaczowski;  56352;0,3428
powiat_swiebodzinski;  56204;0,4793
powiat_bielski_podlaskie;  56075;0,5225
Piekary_Slaskie;  55954;1,0000
powiat_prudnicki;  55915;0,5276
powiat_krosnienski_lubuskie;  55759;0,5300
powiat_leszczynski;  55391;0,0896
powiat_ostrzeszowski;  55391;0,3371
powiat_aleksandrowski;  55347;0,4530
powiat_lubanski;  55238;0,5614
powiat_legnicki;  55182;0,3433
powiat_sokolowski;  54874;0,3579
powiat_walecki;  54013;0,6060
powiat_tarnobrzeski;  53481;0,2392
powiat_opatowski;  53361;0,2053
powiat_sredzki_dolnoslaskie;  53181;0,1784
powiat_przasnyski;  53014;0,3735
powiat_sierpecki;  52721;0,3466
Ostroleka;  52337;1,0000
powiat_chelminski;  52236;0,3967
powiat_pajeczanski;  52003;0,2427
powiat_pultuski;  51746;0,3752
powiat_grodziski_wielkopolskie;  51423;0,3784
powiat_lomzynski;  51305;0,0752
powiat_jaworski;  51176;0,5715
powiat_leczycki;  50769;0,2900
Swietochlowice;  50644;1,0000
powiat_mragowski;  50507;0,5127
powiat_laski;  50285;0,3665
powiat_strzelecko_drezdenecki;  49842;0,4726
powiat_miechowski;  49505;0,2320
powiat_choszczenski;  49220;0,4800
powiat_rawski;  49081;0,4244
powiat_tucholski;  48416;0,2966
Skierniewice;  48327;1,0000
powiat_bialogardzki;  48254;0,6250
powiat_grajewski;  48041;0,5592
powiat_swidwinski;  47727;0,4970
Tarnobrzeg;  47595;1,0000
powiat_chodzieski;  47415;0,5648
powiat_kamienski;  47296;0,5280
powiat_wolowski;  47137;0,5282
powiat_slubicki;  47093;0,6434
powiat_janowski;  46596;0,2467
Krosno;  46565;1,0000
powiat_lwowecki;  46527;0,5139
powiat_glubczycki;  46445;0,4577
powiat_mogilenski;  46197;0,3953
powiat_makowski;  45825;0,2714
powiat_wloszczowski;  45708;0,2293
powiat_gostyninski;  45682;0,4120
powiat_siemiatycki;  45538;0,3581
powiat_golubsko_dobrzynski;  45250;0,3803
powiat_zlotoryjski;  44381;0,5013
powiat_kamiennogorski;  44262;0,6038
powiat_rypinski;  44219;0,3725
